chr	pos	strand	ProbeID
chr13	113419720	-	cg02150207
chr11	31830524	-	cg26932432
chr22	21053952	-	cg23406864
chr11	63796198	+	cg01137760
chr19	17653011	-	cg19489423
chr5	162932455	-	cg14103574
chr10	60272775	-	cg10865087
chr13	114066988	+	cg26948176
chr13	39261784	-	cg11547544
chr11	8106632	+	cg18432441
chr3	8153918	+	cg20520262
chr11	78414322	-	cg22987614
chr5	40478425	-	cg01965552
chrX	118357461	-	cg26710619
chr6	138745349	-	cg04084898
chr12	85673270	+	cg14996220
chr19	11074303	+	cg08315613
chr5	110948201	-	cg21202704
chr3	64432389	-	cg24969732
chr4	46392526	-	cg23676588
chr7	43918148	+	cg05397809
chr11	2434151	-	cg25883561
chr11	45717384	+	cg09338297
chr1	1161866	-	cg18367529
chr10	14050479	-	cg05888872
chr1	85743497	+	cg16377367
chr11	1365736	+	cg18431486
chr17	46655387	-	cg21546671
chr3	194397111	-	cg24379742
chr1	181382291	-	cg02006095
chr6	26247099	+	cg16800785
chr12	53587621	-	cg04552292
chr12	48499425	+	cg10050807
chr11	3013968	+	cg15839394
chr5	71706309	+	cg25099389
chr15	66994830	+	cg12645742
chrX	106228404	+	cg21067846
chr4	20960712	+	cg27375642
chr3	45077649	-	cg00347798
chr6	42283846	-	cg10575547
chr1	157062170	+	cg05118587
chr1	145096319	+	cg17845065
chr11	18433564	-	cg14332815
chr6	29893168	+	cg09470907
chr5	133794072	-	cg12856447
chr4	144109657	+	cg24251135
chr17	3540328	-	cg17199681
chr3	39421801	+	cg13444374
chr10	109641026	-	cg08327428
chr12	34752829	+	cg03786043
chr6	27833270	-	cg08540307
chr15	32984867	+	cg00101713
chr6	33396029	+	cg04202802
chr5	148929595	+	cg12511887
chr9	127642782	-	cg14168316
chr13	77461058	+	cg24515970
chr17	62461393	-	cg06705591
chr19	20188738	-	cg10801418
chr10	63996254	+	cg06283473
chr5	32585547	-	cg02273535
chr19	53466210	-	cg09340523
chr17	46806056	+	cg17457986
chr3	147077665	+	cg22894301
chr5	1243785	-	cg10333311
chr19	4670603	+	cg24938956
chr5	179051568	-	cg11517094
chr5	1357081	+	cg11258494
chr7	77753628	-	cg24142117
chr22	19929254	+	cg11032634
chr5	1054688	-	cg22673380
chr3	13899618	+	cg26121234
chr6	31145302	+	cg26069890
chr6	164052180	+	cg03600259
chr2	127818046	+	cg08663425
chr20	30640512	-	cg04718428
chr2	202317236	-	cg10711778
chr5	149741030	-	cg23934477
chr12	56546207	+	cg18176406
chr2	911822	+	cg26833798
chr1	222839607	-	cg20511453
chr4	3319669	-	cg18945794
chr8	109493386	+	cg22293416
chr6	151937260	+	cg02789362
chr19	40476920	+	cg22164619
chr8	27182871	-	cg06815112
chr6	117995843	-	cg18645398
chr14	20937370	-	cg26933359
chr18	77308734	+	cg00637636
chr7	91772644	+	cg04195340
chr6	144863892	-	cg04167205
chr14	71805172	-	cg12920333
chr2	27333809	-	cg12755035
chr2	242711009	-	cg02639108
chr11	34622359	+	cg13080487
chr16	5007808	-	cg03163875
chr15	102216116	-	cg11292721
chr14	105103494	-	cg04946315
chr17	43054758	-	cg04163533
chr18	67070120	-	cg19513940
chr16	3640538	-	cg05566243
chr5	43019773	-	cg20739435
chr16	30347333	+	cg04898939
chr16	84401247	+	cg06786050
chr16	30582918	-	cg00822607
chr12	131568441	-	cg06892006
chr2	170220388	-	cg08580631
chr7	72723603	+	cg22232048
chr7	56131795	-	cg22902969
chr19	9892742	+	cg19669207
chr15	101836060	-	cg01033451
chr4	1341059	-	cg27556913
chr2	63670795	+	cg23210881
chr1	170525537	+	cg11689744
chr2	8819284	-	cg00879141
chr19	17417442	-	cg16521040
chr5	173316748	+	cg03032025
chr10	1654421	+	cg05506270
chr5	143172092	-	cg22158051
chr6	33872861	-	cg10072237
chr6	1841153	-	cg15193215
chr5	140214372	+	cg06938264
chr5	137549136	-	cg11005899
chr3	47018377	-	cg06066128
chr4	187524686	-	cg24997677
chr13	114911570	+	cg15123572
chr7	152623299	+	cg26060634
chr14	82090632	+	cg14249311
chr2	183580818	-	cg19293019
chr10	128994432	+	cg03242819
chr14	78226832	+	cg23188588
chr17	21117780	+	cg19280121
chr5	66124395	+	cg07034329
chr16	86588968	+	cg06874952
chr10	129173878	+	cg07138454
chr5	110404837	-	cg02620403
chr10	129795003	-	cg07986469
chr9	132200921	+	cg13839849
chr10	135192038	+	cg13224723
chr10	135337429	-	cg16949584
chr13	113184905	+	cg02225550
chr3	170623410	-	cg08438920
chr1	33117735	+	cg18118795
chr1	100731476	-	cg11820522
chrX	147133598	-	cg26516882
chr11	20010227	+	cg01896424
chr15	42265079	+	cg11362250
chr17	33759986	+	cg05174890
chr3	134515143	-	cg07842403
chr19	2329227	-	cg00014272
chr19	51446718	-	cg22965082
chr10	45843167	-	cg05732081
chr10	28591431	-	cg23543396
chr9	21368292	-	cg01713938
chr12	104444006	+	cg00987461
chr1	149146472	-	cg00822399
chr5	126345185	-	cg16457489
chr15	86012489	+	cg10818794
chr15	34635330	-	cg03288461
chr10	63663454	+	cg19465451
chr10	28034816	+	cg05694245
chr6	15428301	+	cg26405097
chr2	240405703	-	cg22739610
chr17	46676375	+	cg08832695
chr1	40506118	-	cg05303289
chr6	29760832	+	cg11973623
chr16	5084545	-	cg04899681
chr1	40108561	+	cg24545964
chr5	176982070	+	cg18478850
chr5	148724853	+	cg22725986
chr6	170862576	+	cg19692996
chr12	108851556	-	cg06834313
chr6	26572139	+	cg08645998
chrX	47057322	+	cg19261513
chr19	919596	+	cg22666438
chr10	129733117	-	cg22568703
chr1	3623319	-	cg26034538
chr16	3142207	-	cg03935731
chr12	123750827	+	cg14790739
chr3	127690108	-	cg07864327
chr6	166581519	+	cg07991951
chr19	18234076	+	cg14317046
chr13	94822726	-	cg11134334
chr22	38485720	+	cg22817638
chr13	95248882	+	cg04206742
chr6	85483055	+	cg24708006
chrX	48755433	+	cg21364772
chr1	149764294	+	cg05848279
chr8	25902284	+	cg22841810
chr5	140856330	+	cg04453180
chr15	60860767	+	cg19620383
chr19	10407184	-	cg04295144
chr10	43824469	+	cg16171213
chr10	118764521	+	cg13331300
chr17	25681106	+	cg08591058
chr18	48088362	-	cg06191260
chr12	132069570	-	cg02136201
chr7	73269952	-	cg22489519
chrX	135228215	-	cg05455393
chrX	149530457	+	cg24605995
chr4	80247179	+	cg06150828
chr11	48509778	+	cg13319761
chr1	28969692	+	cg03915268
chr3	33840003	-	cg05432305
chr15	74988357	+	cg22527415
chr4	56262702	+	cg01776012
chr1	231472424	-	cg04636557
chr20	2383390	+	cg01581757
chr6	17394417	+	cg06682978
chr5	36242451	-	cg25091837
chr7	20363626	+	cg09777042
chr7	37888670	+	cg03659153
chr4	141294570	+	cg04401710
chr4	7965818	+	cg05459650
chr14	104940229	+	cg02286602
chr6	32803903	-	cg03895094
chr14	105877653	-	cg13019878
chr1	28696105	+	cg03132197
chr2	157346486	+	cg24769432
chr2	113875723	-	cg10938446
chr12	12970188	+	cg13523561
chrX	30994266	+	cg03959079
chr3	128278532	-	cg03779326
chr8	1138928	-	cg01917932
chr12	118496434	-	cg24639178
chr18	76192780	-	cg23975975
chr13	21292142	-	cg14133014
chr2	108903952	+	cg25570328
chr8	97172012	+	cg03224572
chr5	177949147	+	cg24810933
chr11	65601427	+	cg01421405
chr14	37059657	+	cg21232671
chr12	133373625	-	cg02750435
chrX	57617470	-	cg01860821
chr5	510254	+	cg27624327
chr2	98206249	+	cg06584912
chr10	73466728	-	cg10505163
chr1	10707934	-	cg21787835
chr12	54376094	+	cg03719428
chr1	3320431	+	cg25362585
chr1	62311238	+	cg08714311
chr11	59951663	+	cg06881914
chr6	41528198	-	cg03036702
chr5	3790687	-	cg15043113
chr19	55628995	+	cg17894889
chr1	117452530	-	cg22736787
chr1	218547935	-	cg10484211
chr13	80443435	+	cg05969360
chr8	124287665	+	cg21833640
chr10	131934431	+	cg17976829
chr7	101929626	+	cg05636499
chr2	97454042	+	cg02913511
chr5	148521112	+	cg17259656
chr7	151301837	-	cg04900366
chr19	55770874	+	cg04312903
chr12	81171635	+	cg26263674
chr14	100118974	-	cg25967745
chr7	104653332	-	cg26421572
chr16	89557368	-	cg06477423
chr3	52312575	-	cg10989431
chr1	19229053	-	cg02853781
chr7	66459960	-	cg18122802
chr17	71280700	+	cg18238808
chr2	207139445	-	cg13788515
chr7	112459177	-	cg15723346
chr11	3876754	-	cg01856634
chr16	88852425	-	cg16537285
chr15	56201496	-	cg16068383
chr2	85389845	-	cg09304617
chrX	133680468	+	cg22955387
chr2	190305806	+	cg12791010
chr17	77078400	-	cg09257677
chr4	58575619	+	ch.4.58270376F
chr5	140531158	-	cg13089454
chr7	127472121	-	cg25855768
chr6	31477952	+	cg23660197
chr11	119652442	+	cg20121258
chr1	21766368	-	cg26885858
chr16	21169331	-	cg07079231
chr2	234072769	+	cg16874252
chr6	42207510	+	cg09103187
chr6	87832609	+	cg18625538
chr15	45491210	+	cg02710224
chr8	52772528	+	cg25335107
chr6	169539810	-	cg24768243
chrX	151999492	-	cg25911220
chr4	76439695	+	cg03931444
chr1	17743073	-	cg06100762
chrX	47693230	+	cg02932763
chr12	28394500	-	cg03918426
chr18	61419801	-	cg00442924
chr15	63116127	+	cg18065177
chr8	41505411	-	cg18227471
chr17	9151174	-	cg24537275
chr6	111368785	-	cg23969955
chr4	122302265	+	cg24727399
chr3	111805005	+	cg07741984
chrX	133119921	+	cg16272791
chr14	31889003	-	cg10041119
chr5	31532181	+	cg18733486
chr15	100106179	-	cg27277367
chr10	71812321	+	cg06332111
chr20	61448325	-	cg24242082
chr13	43439288	-	cg23547243
chr11	66395510	-	cg09657311
chr4	25115729	-	cg22651787
chr19	12833063	+	cg03113475
chr19	52933429	+	cg17435182
chr11	17410380	+	cg10258385
chr1	49511514	+	cg25281584
chr17	45796856	-	cg17527177
chr11	47870114	-	cg14931686
chr8	18708915	-	cg09075327
chr14	102965555	+	cg01567754
chr17	36813786	-	cg25664054
chr18	12254120	-	cg26974111
chr8	143125637	+	cg15410835
chr1	180138771	-	cg24311933
chr2	3320918	-	cg06514377
chr8	182266	+	cg06779738
chr6	28806527	-	cg25475668
chr5	72144821	+	cg10358954
chr1	22151328	+	cg06909773
chr8	118533030	+	cg21886316
chr1	44496476	-	cg10588679
chr3	126075894	+	cg01224730
chrX	41192164	+	cg12689375
chr2	236672542	-	cg25653433
chr14	23516460	-	cg20039983
chr3	155572485	-	cg09452751
chrX	31287275	+	cg25999375
chr3	46853631	+	cg07033202
chr4	71705590	-	cg15793244
chr6	139013757	+	cg05902173
chr1	206729553	+	cg14163311
chr11	17072475	-	cg22154293
chr2	118771984	+	cg08305778
chr14	96509923	+	cg24734069
chr8	59323755	+	cg01643628
chr19	4173315	-	cg07492962
chr5	36151358	-	cg22416703
chr4	185941601	+	cg10463150
chr6	19714951	+	cg21565543
chr2	128458281	-	cg03339817
chr19	35329641	-	cg26346108
chr5	149887008	-	cg08895618
chr2	3488593	+	cg12142346
chr1	1897585	-	cg24503109
chr20	25657028	-	cg26097364
chr19	19322640	-	cg14316898
chr6	123101437	+	cg03952543
chr22	38221485	+	cg07416664
chr3	64887780	-	cg05509179
chr5	140220803	-	cg04634417
chr2	173293328	+	cg10155853
chr11	65190135	-	cg00499210
chr1	9795590	-	cg12657380
chr5	54830501	-	cg02229841
chr10	71570947	-	cg06633739
chr6	99291401	-	cg21305834
chr10	93558189	-	cg03617467
chr13	112321885	-	cg07255158
chr6	30657984	+	cg07448742
chr10	134994252	+	cg06517181
chr6	12602989	-	cg13886954
chr11	75522399	-	cg05568930
chr19	44100813	-	cg17327502
chr1	32827834	-	cg15061530
chr17	41561366	-	cg09199933
chr7	42951185	+	cg11618193
chr3	9032631	-	cg13008935
chr1	205538293	+	cg00783945
chr1	148250606	+	cg22795059
chr11	65383829	-	cg13848377
chr1	112159097	-	cg00035969
chr7	65508086	-	cg08599962
chr2	239228875	-	cg12039184
chr19	19216451	-	cg25612391
chr16	3070916	-	cg06209210
chr12	46766012	-	cg09973502
chr3	18485411	+	cg10742605
chr17	45808345	+	cg09529165
chr7	91510447	-	cg01785046
chr1	234509013	-	cg00461735
chr11	66725820	+	cg14737600
chr4	68929020	-	cg15611556
chr10	133484857	+	cg02271227
chr11	2422654	-	cg02157755
chr1	5540135	-	cg25065518
chr16	2564005	-	cg10502232
chr1	24645184	+	cg09322349
chr1	16061408	-	cg19916794
chr4	26965295	+	cg01136538
chr16	67918813	-	cg03294833
chr6	167178918	+	cg20669159
chr11	18233675	-	cg21741858
chr9	113800909	+	cg06148685
chr3	51860848	-	cg19422797
chr12	131502934	+	cg02153041
chr16	53243559	+	cg05768044
chr11	110581454	+	cg03475182
chr20	62719015	+	cg24459397
chr16	2039391	+	cg27190967
chr17	30814028	-	cg16551665
chr8	35040351	+	cg14283887
chr19	50732077	+	cg05220442
chr1	234724843	+	cg05390279
chr3	50601263	+	cg26014905
chr19	17717790	-	cg14063331
chr19	19250067	-	cg23230209
chr15	60803663	-	cg09628822
chr11	72495900	+	cg01230686
chr17	79478715	+	cg15906692
chr9	13278977	+	cg00871358
chr4	3882339	+	cg20111187
chr19	43774982	-	cg11320553
chr19	58838442	-	cg21468511
chr2	162273011	-	cg10395317
chr1	169337088	+	cg27292174
chr5	82767908	+	cg00567749
chr11	56428702	-	cg20886721
chr12	122205609	-	cg18211633
chr8	6479163	+	cg06565184
chr2	64216345	-	cg18704057
chr9	126312950	+	cg13607242
chr6	32094907	-	cg25392500
chr1	227464259	+	cg00149805
chr17	80407749	+	cg27381584
chr14	99645128	-	cg09911747
chr21	46221651	+	cg14764050
chr19	10426516	+	cg02764611
chr4	175135429	-	cg01184676
chr11	108369231	-	cg26701943
chr10	88703144	-	cg02092295
chr8	85711159	-	cg04844231
chr2	39811600	+	cg02004165
chr17	38804285	-	cg27457169
chr2	8776181	+	cg17406412
chr11	32853267	-	cg03288954
chr3	147075221	+	cg04013024
chr17	75237550	+	cg02746913
chr4	85405132	+	cg03554749
chr15	63569620	+	cg16586192
chr1	2084391	-	cg24445388
chr1	34642184	-	cg11524446
chr19	50651024	+	cg15773886
chr1	8014573	+	cg04112961
chr2	9518324	-	cg19426625
chr11	105947389	-	cg09590193
chr15	93465087	+	cg14473904
chr16	74782640	-	cg05566777
chr14	69620662	-	cg04428139
chr19	1754780	+	cg22167789
chr2	11750918	+	cg00206058
chr13	114800841	+	cg00502575
chr10	91738528	+	cg16273724
chr16	31711160	+	cg09713758
chr2	66761776	-	cg10010036
chr8	99959723	+	cg03157027
chr12	85430145	+	cg13239252
chr2	45484726	-	cg01369207
chr2	38065233	+	cg13028376
chr14	103987810	+	cg15473751
chr11	5474612	-	cg19968009
chr11	76495526	-	cg05764270
chr10	46993586	-	cg15248828
chr22	50644755	-	cg25934700
chr11	126174041	+	cg20032723
chr11	73309269	+	cg19851179
chr2	179149472	+	cg02757667
chr3	181428579	+	cg13049182
chr13	43354767	-	cg26529044
chr11	2189562	-	cg26464934
chr17	41004733	+	cg19055390
chr4	2906769	-	cg12952128
chr2	192584931	-	cg05824818
chr6	29141346	+	cg10767797
chr6	168436353	-	cg14316629
chr19	51513611	+	cg17031773
chr11	12791832	+	cg21198586
chr3	9994229	+	cg08941824
chr11	130026698	-	cg08210681
chr1	109693377	-	cg09476440
chr21	15051848	+	cg10105244
chr12	53208293	-	cg17667972
chr6	31597708	+	cg06833981
chr12	132197229	+	cg04249305
chr6	135042205	-	cg16001689
chr7	1961785	+	cg17404289
chr13	113333317	-	cg10448687
chr19	19626821	+	cg11562759
chr11	127811589	-	cg21769702
chr20	62038206	-	cg06404662
chr3	66908896	-	cg22160662
chr17	27889826	-	cg03739177
chr16	2021763	+	cg02458384
chr7	2949518	+	cg07191030
chr6	108488801	-	cg19340889
chr15	100274195	+	cg12967560
chr4	1365689	-	cg04498624
chr7	157444501	+	cg17286476
chr10	12999618	-	cg00236261
chr15	52030641	-	cg05671018
chr20	33449029	+	cg18215705
chr1	236914827	+	cg23227149
chr14	37116924	+	cg20435474
chr6	3287259	+	cg03789088
chr14	23315249	+	cg14414203
chr19	58694770	-	cg09316894
chrX	131624026	+	cg12942133
chr6	35180909	+	cg03052606
chr7	114563609	+	cg06946838
chr2	128284730	+	cg23121934
chr1	54954752	-	cg25979624
chr1	246670859	-	cg09413723
chr2	29118024	+	cg24278036
chr17	9548564	-	cg13408776
chrX	16668234	+	cg06002208
chr7	28891164	-	cg22609511
chr3	160283695	-	cg04849788
chr5	7877198	-	cg10995381
chr12	48152204	-	cg21166775
chr3	9877266	-	cg12436715
chr21	35832164	-	cg00421848
chr8	143841610	-	cg11351841
chr9	131938218	-	cg14405643
chr6	72121351	-	cg07725163
chr16	65558194	+	cg09272993
chr10	122708532	-	cg05627029
chr7	30518972	+	cg26956245
chr3	93696108	+	cg22128071
chr15	66116727	-	cg27665985
chr1	185015193	+	cg22802759
chr12	123451191	+	cg15348274
chr6	33151849	-	cg13617209
chr1	109291831	+	cg04124962
chr17	80723486	-	cg08200770
chr12	6992923	+	cg20048599
chr12	131569148	+	cg04640747
chr15	65285669	-	cg27192248
chr10	123366506	+	cg18693306
chr14	99712336	+	cg16256390
chr12	18584312	+	cg04878685
chr7	154836613	-	cg01832665
chr12	106696527	+	cg02476566
chr2	29127558	+	cg12221864
chr12	124985655	+	cg15627464
chr11	67960413	+	cg17186428
chr6	40512466	+	cg05808372
chr1	201431492	-	cg24935896
chr6	169631196	+	cg06289444
chr5	132149013	+	cg26066519
chr4	13537872	+	cg27264049
chr15	69453362	-	cg13343238
chr1	23246876	-	cg14024728
chr11	65264681	-	cg23566411
chr1	248855188	+	cg17759806
chr5	70760973	+	ch.5.1324828F
chr6	143381675	+	cg15185286
chr16	1429729	+	cg09842285
chr14	23067088	-	cg12153785
chr20	36793970	+	cg17352422
chr20	48629342	-	cg26162564
chr4	39184141	-	cg13191718
chr1	40367831	+	cg20462899
chr10	102906057	-	cg26701408
chr1	26484551	-	cg16680237
chr16	57219801	+	cg03104758
chr22	51112536	+	cg06793377
chr1	27021845	-	cg14851949
chr9	82185137	+	cg14184866
chr2	224904683	+	cg19715111
chr16	1100552	+	cg05351141
chr2	152146295	-	cg00092287
chr14	68798365	-	cg26298914
chr10	133931456	+	cg22753482
chr19	49254220	+	cg12154110
chr19	57335807	+	cg25257905
chr10	3169037	-	cg18166150
chr11	123677922	-	cg12432303
chr12	57472712	+	cg25698102
chr10	102027489	+	cg22947113
chr3	176759870	-	cg04863679
chr10	135125560	-	cg02919569
chr5	135266896	+	cg14827778
chr5	16614632	-	cg26419659
chr19	50734272	-	cg02192974
chr2	133363326	+	cg09648243
chr14	105500294	-	cg26402284
chr17	76801579	-	cg00945209
chr7	73066312	-	cg06479628
chr13	37574619	+	cg18163144
chr18	56117016	+	cg19312305
chr15	91565780	+	cg08919649
chr19	33572249	-	cg17322444
chr1	1066544	-	cg07203151
chr10	13688030	-	cg24019337
chr3	133291979	+	cg24073051
chr6	136929561	-	cg27501748
chr20	44806406	+	cg14583183
chr5	158590712	-	cg11287077
chr2	2893377	-	cg26109401
chr12	13254673	-	cg13694400
chr16	30102919	+	cg00123512
chr20	21083097	+	cg20042639
chr12	20365720	+	cg23655651
chr13	27824191	+	cg10973043
chr3	185080423	-	cg18444689
chr15	72598286	-	cg25939371
chr1	221911278	+	cg23932332
chr12	119418004	+	cg15348869
chr2	239312601	-	cg01055954
chr1	47185216	+	cg00128766
chr2	119917385	-	cg20883684
chr4	16229123	+	cg18207742
chr8	133887910	-	cg20080247
chr1	92048287	+	cg04510459
chr12	94495274	-	cg04768449
chr5	140235753	-	cg19810034
chrX	54206411	-	cg10105723
chr14	57273276	+	cg03492327
chr15	31948075	-	cg12837642
chrX	24072865	-	cg27345735
chr5	179222639	+	cg08578245
chr6	168812569	-	cg26311420
chr13	49684397	-	cg17091793
chr5	72415687	-	cg14617041
chr4	76860890	-	cg12435134
chr19	5144334	-	cg11378778
chr16	780555	+	cg00881372
chr4	44450962	+	cg14677681
chr2	143673332	+	cg19826115
chr14	37135586	-	cg26094789
chr1	202927266	+	cg12888039
chr17	40277011	+	cg26455685
chr18	57026503	-	cg26514337
chr8	144450942	-	cg25255679
chr6	114289504	-	cg11276600
chr6	3089496	+	cg05798126
chr1	91967328	-	cg14965628
chr11	108535736	-	cg24631920
chr9	124982087	-	cg25542041
chr4	6912474	+	cg12958778
chr17	58754542	+	cg03979162
chr1	112531263	-	cg15211908
chr4	53729056	+	cg26519401
chr1	28876008	+	cg07114510
chr7	63361148	-	cg20564496
chr5	178564818	+	cg07124832
chr8	37823996	-	cg24438644
chr19	55898727	-	cg08233235
chr17	954490	-	cg25436152
chr19	17212553	+	cg25461793
chrX	105421602	+	cg02580986
chr7	21410396	+	cg00572966
chr17	35296117	+	cg19816883
chr4	21949853	+	cg26279668
chr6	32822017	-	cg12862002
chr19	3852027	-	cg00860425
chr10	133797327	+	cg08610968
chr6	27356513	+	cg25605601
chrX	46938148	+	cg21049587
chr11	64577338	-	cg22897141
chr10	94352760	-	cg25914931
chr2	152830614	-	cg06686709
chr4	185747379	+	cg27391710
chr10	33294358	+	cg09664550
chr14	103397374	-	cg05932079
chr6	31913250	+	cg15847272
chr13	51640297	-	cg13725803
chr10	125034818	-	cg18979589
chr3	19188463	+	cg26398261
chr1	28241192	+	cg11542231
chr6	107816677	-	cg05726239
chr8	21900314	+	cg26069514
chr1	6663445	-	cg13324746
chr1	201084428	+	cg24849736
chr3	195773232	-	cg10897631
chr8	37924550	+	cg07074976
chr17	81028087	-	cg16444001
chr19	939810	-	cg02824251
chr13	47036612	+	cg10314857
chr11	12307496	-	cg01407861
chr14	55494023	-	cg19741455
chr10	105583493	+	cg05620165
chr6	99295470	-	cg12287785
chr19	1757699	-	cg18246368
chr10	104170718	+	cg01981762
chr15	48483834	+	cg11439821
chr15	66274343	+	cg06278108
chr1	41220011	-	cg14092259
chr12	14132940	+	cg04016326
chr2	153271840	-	cg16794471
chr12	27933133	+	cg12286636
chr15	67588794	+	cg12485906
chr6	116576566	+	cg18828861
chr12	26267286	-	cg01095510
chr14	63978107	+	cg04972957
chr4	79319046	+	cg01287850
chr9	138304510	+	cg14048686
chr12	50236974	+	cg10622271
chr19	14141098	+	cg19282782
chr4	107238125	-	cg00045439
chr10	46961894	-	cg11922164
chr7	146489513	+	cg05082805
chr4	17517594	+	cg16760587
chr3	64008884	-	cg09030452
chr19	45649752	-	cg02872930
chrX	24073090	-	cg16712639
chr8	675274	+	cg13203973
chr5	81146787	-	cg08198193
chr4	185719764	+	cg22671547
chr22	28838631	+	cg06969287
chr17	49247217	+	cg00099306
chr14	90721484	-	cg20072951
chr17	70536814	+	cg13167372
chr6	31860314	+	cg12941325
chr5	1224256	+	cg21133868
chr15	43803195	-	cg05312278
chr1	215993017	-	cg26036678
chr7	95115354	+	cg11554605
chr1	43833600	-	cg24729481
chr10	1463108	+	cg13683507
chr11	118436523	-	cg24355174
chr12	52565270	-	cg25108052
chr8	22288224	-	cg18042586
chr21	45176069	+	cg23702614
chr9	135581257	-	cg14239530
chr12	109203581	+	cg01389506
chr1	52870280	+	cg10586599
chr6	90348585	+	cg20011833
chr13	113481157	-	cg15077546
chr5	52084045	-	cg12517452
chr5	107333404	+	cg24160371
chr16	87251325	+	cg27326570
chr1	6390793	+	cg00081799
chr1	244374065	-	cg00016238
chr19	7459296	+	cg26756396
chr22	31556238	-	cg11672225
chr6	167017956	-	cg18775845
chr20	57583434	-	cg00539174
chr6	136227579	-	cg17148503
chr11	58730897	+	cg05488217
chr6	32030123	-	cg27626240
chr13	99047355	-	cg21719626
chr16	9060697	-	cg07342647
chr10	51487759	-	cg17951488
chr22	17691369	+	cg19192878
chr4	1514621	+	cg04021526
chr8	30770617	+	cg22660171
chr10	64576130	+	cg21264207
chr6	31783482	+	cg17494781
chr1	185126416	-	cg27491458
chr10	134570379	+	cg23063147
chr22	18111806	+	cg23518791
chr13	75149974	+	cg07640233
chr4	145956168	+	cg01400750
chr10	76987943	+	cg17211218
chr18	597111	+	cg11214889
chrX	134121706	-	cg01990854
chr5	74910129	-	cg13931873
chr1	47800409	+	cg22532312
chr3	157213541	-	cg02933354
chr17	79609161	+	cg16187528
chr13	77283725	-	cg13711538
chr15	26957675	-	cg11699912
chr11	118272451	-	cg20260592
chr3	156838096	-	cg25447806
chr8	30012889	+	cg04374813
chr4	1340354	+	cg13929480
chr4	150806283	-	cg03605454
chr6	31088188	+	cg08424423
chr15	68273534	+	cg24630426
chr2	241405084	-	cg20094506
chr11	118443028	-	cg11094953
chr13	46189838	+	cg20483324
chr16	2984407	-	cg00994587
chr15	20193574	-	cg00690809
chr16	11762803	-	cg07657131
chr19	52836583	+	cg17885030
chr4	3254969	+	cg26343761
chr6	470823	-	cg17845669
chr6	34359501	-	cg02944057
chrX	88001695	-	cg26621014
chr6	56200769	+	cg10423842
chr12	121678558	+	cg09297514
chrX	36982194	+	cg04528545
chr13	114768348	+	cg19946956
chr19	23869502	+	cg15634744
chr1	85101435	-	cg14984649
chr1	113261723	+	cg26190476
chr15	49356663	-	cg10858677
chr14	50154989	+	cg26030450
chrX	13586855	-	cg03717635
chr17	96503	-	cg09580249
chr1	49224825	+	cg09554876
chr8	41500461	-	cg23100365
chr13	95364633	-	cg15482872
chr1	181701371	+	cg06883373
chr1	100319511	+	cg23641635
chr10	94834582	-	cg10716835
chr22	46419365	-	cg26667287
chr16	87588893	-	cg03272932
chr1	153283317	+	cg04450606
chr21	47342677	-	cg18460830
chr7	27183694	-	cg25307665
chr4	138584567	-	cg13443950
chr19	58090465	+	cg22956077
chr7	29603541	-	cg12658982
chr15	25434632	+	cg16731428
chr2	40740063	+	cg02870829
chr7	35669716	+	cg18795911
chr18	21166718	-	cg12268958
chr6	74678454	-	cg23826559
chr19	38877220	-	cg25820703
chr3	160170242	+	cg13024511
chr3	49568796	+	cg12907199
chr7	99691652	+	cg17022727
chr19	56015067	+	cg24170248
chrX	69675064	+	cg24264679
chr6	31864574	+	cg00232453
chr16	54545884	+	cg09919735
chr14	100126196	+	cg13932794
chr3	137487770	-	cg24767956
chr10	101945899	-	cg19845649
chr5	169918864	-	cg00224471
chr2	27633235	+	cg15296858
chr2	65657881	+	cg03932406
chr7	135662345	+	cg23398173
chr11	71462549	+	cg09591497
chr2	11606494	+	cg09914581
chr20	35503983	+	cg00076936
chr17	62223554	+	cg26504248
chr2	37190024	-	cg01695532
chrX	25029360	+	cg15854666
chr22	50988451	-	cg11829870
chr7	132937811	-	cg20451802
chr1	171711503	+	cg03990847
chr4	3418070	-	cg20679011
chr5	118689961	+	cg03665078
chr4	125571982	-	cg24920271
chr5	149512529	+	cg22032789
chr1	210855908	-	cg04853978
chr18	11151764	-	cg12569880
chr14	70884244	+	cg06934680
chr2	112918222	-	cg01494611
chr19	36239797	-	cg21561596
chr12	122250518	-	cg03141007
chr3	25706437	+	cg21882527
chr3	14365151	+	cg15450445
chr16	14403405	-	cg16484042
chrX	27999728	+	cg25602651
chr1	247614943	+	cg06190616
chr20	56881949	+	cg21532801
chr9	136399808	-	cg25580018
chr3	142735186	+	cg02351425
chr3	37035090	-	cg24985459
chrX	77912605	+	cg18447077
chr6	10416373	+	cg24902920
chr11	66465299	+	cg15335683
chr4	4854690	+	cg17807131
chr8	144800997	-	cg20000220
chr10	103246963	+	cg14855326
chr8	37244283	+	cg18065874
chr6	7313460	-	cg01145475
chr19	10047209	+	cg07742633
chr5	35940037	+	cg07741805
chr20	3747579	-	cg27404606
chr1	156890488	+	cg04113693
chr3	178755197	+	cg19408207
chr20	21682362	+	cg18130044
chr2	133426418	+	cg17674725
chr17	7758204	-	cg21845633
chr10	5681092	-	cg27176938
chr12	20700997	+	cg22999327
